year,Scotland population mid-year estimate,Great Britain population mid-year estimate,England population mid-year estimate,England and Wales population mid-year estimate,United Kingdom population mid-year estimate,Northern Ireland population mid-year estimate,Wales population mid-year estimate,source,source_url
2001,5064200.0,57424200.0,49449700.0,52360000.0,59113000,1688800.0,2910200.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2002,5066000.0,57668100.0,49679300.0,52602100.0,59365700,1697500.0,2922900.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2003,5068500.0,57931700.0,49925500.0,52863200.0,59636700,1704900.0,2937700.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2004,5084300.0,58236300.0,50194600.0,53152000.0,59950400,1714000.0,2957400.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2005,5110200.0,58685500.0,50606000.0,53575300.0,60413300,1727700.0,2969300.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2006,5133000.0,59083900.0,50965200.0,53950900.0,60827000,1743100.0,2985700.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2007,5170000.0,59557400.0,51381100.0,54387400.0,61319100,1761700.0,3006300.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2008,5202900.0,60044600.0,51815900.0,54841700.0,61823800,1779200.0,3025900.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2009,5231900.0,60467200.0,52196400.0,55235300.0,62260500,1793300.0,3038900.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2010,5262200.0,60954600.0,52642500.0,55692400.0,62759500,1804800.0,3050000.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2011,5299900.0,61470800.0,53107200.0,56170900.0,63285100,1814300.0,3063800.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2012,5308200.0,61885900.0,53506800.0,56577700.0,63710500,1824600.0,3070900.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2013,5316800.0,62306500.0,53918700.0,56989700.0,64138200,1831700.0,3071100.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
2014,5331400.0,62775500.0,54370300.0,57444100.0,64618700,1843200.0,3073800.0,"ONS population estimates time series dataset, current edition",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatestimeseriesdataset/current
