hilti_store_name,city,postcode,latitude,longitude,url
Hilti Store Belfast,Belfast,BT3 9BP,54.6247464,-5.914934,https://www.hilti.co.uk/stores/belfast
Hilti Store Birmingham,Birmingham,B6 4EX,52.490428,-1.889839,https://www.hilti.co.uk/stores/birmingham
Hilti Store Cardiff,Cardiff,CF24 5PF,51.47478,-3.155192,https://www.hilti.co.uk/stores/cardiff
Hilti Store Edinburgh,Edinburgh,EH15 1TB,55.965067,-3.132471,https://www.hilti.co.uk/stores/edinburgh
Hilti Store Edmonton,London,N18 3AF,51.612631,-0.047118,https://www.hilti.co.uk/stores/edmonton
Hilti Store Glasgow,Glasgow,G5 8SG,55.853214,-4.274367,https://www.hilti.co.uk/stores/glasgow
Hilti Store Liverpool,Liverpool,L6 1NA,53.412112,-2.96462,https://www.hilti.co.uk/stores/liverpool
Hilti Store Manchester,Manchester,M5 3EY,53.467505,-2.280784,https://www.hilti.co.uk/stores/manchester
Hilti Store Southwark,London,SE1 0UE,51.504287,-0.101739,https://www.hilti.co.uk/stores/southwark
